Город,Всего организаций (14 категорий),"Доля от общего, %",Место,одежда,обувь,косметика,украшения,детские товары,спорттовары,текстиль для дома,подарки/сувениры,цветы,кондитерские/торты,мебель,зоотовары,автозапчасти,стройматериалы
Алматы,20334,22.3,1,5066,1664,1590,1135,2574,545,686,315,1707,1181,1822,294,1193,562
Астана,13727,15.1,2,3425,959,943,665,1866,339,515,168,1210,818,1491,140,747,441
Шымкент,13249,14.5,3,3801,1393,890,642,1871,141,398,94,583,1020,1098,41,752,525
Караганда,5861,6.4,4,1469,541,411,241,853,152,173,90,425,286,610,104,335,171
Ақтау,4728,5.2,5,1369,449,335,251,636,103,137,60,200,225,471,16,334,142
Актобе,4319,4.7,6,1236,420,304,198,644,93,125,22,213,222,366,22,342,112
Павлодар,4230,4.6,7,1238,452,282,218,644,123,223,75,208,253,358,73,0,83
Костанай,3952,4.3,8,1118,351,285,214,633,112,251,66,208,214,378,63,0,59
Тараз,3596,3.9,9,1139,340,268,180,515,80,110,29,233,143,197,13,225,124
Қызылорда,3324,3.6,10,1130,362,224,206,513,88,82,33,112,140,206,5,152,71
Орал,3308,3.6,11,948,263,217,152,474,62,125,36,204,159,299,20,265,84
Атырау,3166,3.5,12,851,295,213,161,435,92,82,30,138,169,337,10,246,107
Семей,2972,3.3,13,924,280,238,124,473,53,102,46,198,174,204,24,0,132
Өскемен,2634,2.9,14,644,207,231,125,407,114,124,48,148,119,316,80,0,71
Петропавловск,1800,2.0,15,496,150,117,66,249,45,83,30,115,86,280,31,0,52
