Город,Категория,"Организаций (уникальных, org_count)",Точек/филиалов (branch_count),Кол-во рубрик 2ГИС в сумме,Точность
Алматы,одежда,5066,5929,3,"сумма 3 рубрик, возможно небольшое задвоение"
Алматы,обувь,1664,2068,2,"сумма 2 рубрик, возможно небольшое задвоение"
Алматы,косметика,1590,1946,1,точно (1 рубрика)
Алматы,украшения,1135,1293,2,"сумма 2 рубрик, возможно небольшое задвоение"
Алматы,детские товары,2574,3034,4,"сумма 4 рубрик, возможно небольшое задвоение"
Алматы,спорттовары,545,708,2,"сумма 2 рубрик, возможно небольшое задвоение"
Алматы,текстиль для дома,686,760,1,точно (1 рубрика)
Алматы,подарки/сувениры,315,359,1,точно (1 рубрика)
Алматы,цветы,1707,2111,2,"сумма 2 рубрик, возможно небольшое задвоение"
Алматы,кондитерские/торты,1181,1643,1,точно (1 рубрика)
Алматы,мебель,1822,2030,4,"сумма 4 рубрик, возможно небольшое задвоение"
Алматы,зоотовары,294,380,1,точно (1 рубрика)
Алматы,автозапчасти,1193,1337,1,точно (1 рубрика)
Алматы,стройматериалы,562,627,1,точно (1 рубрика)
Астана,одежда,3425,4186,3,"сумма 3 рубрик, возможно небольшое задвоение"
Астана,обувь,959,1285,2,"сумма 2 рубрик, возможно небольшое задвоение"
Астана,косметика,943,1171,1,точно (1 рубрика)
Астана,украшения,665,816,2,"сумма 2 рубрик, возможно небольшое задвоение"
Астана,детские товары,1866,2362,4,"сумма 4 рубрик, возможно небольшое задвоение"
Астана,спорттовары,339,419,2,"сумма 2 рубрик, возможно небольшое задвоение"
Астана,текстиль для дома,515,656,1,точно (1 рубрика)
Астана,подарки/сувениры,168,189,1,точно (1 рубрика)
Астана,цветы,1210,1549,2,"сумма 2 рубрик, возможно небольшое задвоение"
Астана,кондитерские/торты,818,1209,1,точно (1 рубрика)
Астана,мебель,1491,1645,4,"сумма 4 рубрик, возможно небольшое задвоение"
Астана,зоотовары,140,193,1,точно (1 рубрика)
Астана,автозапчасти,747,818,1,точно (1 рубрика)
Астана,стройматериалы,441,527,1,точно (1 рубрика)
Шымкент,одежда,3801,4037,3,"сумма 3 рубрик, возможно небольшое задвоение"
Шымкент,обувь,1393,1534,2,"сумма 2 рубрик, возможно небольшое задвоение"
Шымкент,косметика,890,1024,1,точно (1 рубрика)
Шымкент,украшения,642,686,2,"сумма 2 рубрик, возможно небольшое задвоение"
Шымкент,детские товары,1871,2024,4,"сумма 4 рубрик, возможно небольшое задвоение"
Шымкент,спорттовары,141,169,2,"сумма 2 рубрик, возможно небольшое задвоение"
Шымкент,текстиль для дома,398,431,1,точно (1 рубрика)
Шымкент,подарки/сувениры,94,98,1,точно (1 рубрика)
Шымкент,цветы,583,618,2,"сумма 2 рубрик, возможно небольшое задвоение"
Шымкент,кондитерские/торты,1020,1289,1,точно (1 рубрика)
Шымкент,мебель,1098,1148,4,"сумма 4 рубрик, возможно небольшое задвоение"
Шымкент,зоотовары,41,45,1,точно (1 рубрика)
Шымкент,автозапчасти,752,787,1,точно (1 рубрика)
Шымкент,стройматериалы,525,556,1,точно (1 рубрика)
Караганда,одежда,1469,1718,3,"сумма 3 рубрик, возможно небольшое задвоение"
Караганда,обувь,541,661,2,"сумма 2 рубрик, возможно небольшое задвоение"
Караганда,косметика,411,531,1,точно (1 рубрика)
Караганда,украшения,241,287,2,"сумма 2 рубрик, возможно небольшое задвоение"
Караганда,детские товары,853,1061,4,"сумма 4 рубрик, возможно небольшое задвоение"
Караганда,спорттовары,152,186,2,"сумма 2 рубрик, возможно небольшое задвоение"
Караганда,текстиль для дома,173,243,1,точно (1 рубрика)
Караганда,подарки/сувениры,90,99,1,точно (1 рубрика)
Караганда,цветы,425,510,2,"сумма 2 рубрик, возможно небольшое задвоение"
Караганда,кондитерские/торты,286,371,1,точно (1 рубрика)
Караганда,мебель,610,684,4,"сумма 4 рубрик, возможно небольшое задвоение"
Караганда,зоотовары,104,132,1,точно (1 рубрика)
Караганда,автозапчасти,335,365,1,точно (1 рубрика)
Караганда,стройматериалы,171,189,1,точно (1 рубрика)
Актобе,одежда,1236,1360,3,"сумма 3 рубрик, возможно небольшое задвоение"
Актобе,обувь,420,478,2,"сумма 2 рубрик, возможно небольшое задвоение"
Актобе,косметика,304,393,1,точно (1 рубрика)
Актобе,украшения,198,231,2,"сумма 2 рубрик, возможно небольшое задвоение"
Актобе,детские товары,644,756,4,"сумма 4 рубрик, возможно небольшое задвоение"
Актобе,спорттовары,93,102,2,"сумма 2 рубрик, возможно небольшое задвоение"
Актобе,текстиль для дома,125,163,1,точно (1 рубрика)
Актобе,подарки/сувениры,22,26,1,точно (1 рубрика)
Актобе,цветы,213,282,2,"сумма 2 рубрик, возможно небольшое задвоение"
Актобе,кондитерские/торты,222,351,1,точно (1 рубрика)
Актобе,мебель,366,414,4,"сумма 4 рубрик, возможно небольшое задвоение"
Актобе,зоотовары,22,25,1,точно (1 рубрика)
Актобе,автозапчасти,342,360,1,точно (1 рубрика)
Актобе,стройматериалы,112,125,1,точно (1 рубрика)
Тараз,одежда,1139,1202,3,"сумма 3 рубрик, возможно небольшое задвоение"
