Город,Категория,Организаций (org_count)
Алматы,одежда,5066
Алматы,обувь,1664
Алматы,косметика,1590
Алматы,украшения,1135
Алматы,детские товары,2574
Алматы,спорттовары,545
Алматы,текстиль для дома,686
Алматы,подарки/сувениры,315
Алматы,цветы,1707
Алматы,кондитерские/торты,1181
Алматы,мебель,1822
Алматы,зоотовары,294
Алматы,автозапчасти,1193
Алматы,стройматериалы,562
Астана,одежда,3425
Астана,обувь,959
Астана,косметика,943
Астана,украшения,665
Астана,детские товары,1866
Астана,спорттовары,339
Астана,текстиль для дома,515
Астана,подарки/сувениры,168
Астана,цветы,1210
Астана,кондитерские/торты,818
Астана,мебель,1491
Астана,зоотовары,140
Астана,автозапчасти,747
Астана,стройматериалы,441
Шымкент,одежда,3801
Шымкент,обувь,1393
Шымкент,косметика,890
Шымкент,украшения,642
Шымкент,детские товары,1871
Шымкент,спорттовары,141
Шымкент,текстиль для дома,398
Шымкент,подарки/сувениры,94
Шымкент,цветы,583
Шымкент,кондитерские/торты,1020
Шымкент,мебель,1098
Шымкент,зоотовары,41
Шымкент,автозапчасти,752
Шымкент,стройматериалы,525
Караганда,одежда,1469
Караганда,обувь,541
Караганда,косметика,411
Караганда,украшения,241
Караганда,детские товары,853
Караганда,спорттовары,152
Караганда,текстиль для дома,173
Караганда,подарки/сувениры,90
Караганда,цветы,425
Караганда,кондитерские/торты,286
Караганда,мебель,610
Караганда,зоотовары,104
Караганда,автозапчасти,335
Караганда,стройматериалы,171
Ақтау,одежда,1369
Ақтау,обувь,449
Ақтау,косметика,335
Ақтау,украшения,251
Ақтау,детские товары,636
Ақтау,спорттовары,103
Ақтау,текстиль для дома,137
Ақтау,подарки/сувениры,60
Ақтау,цветы,200
Ақтау,кондитерские/торты,225
Ақтау,мебель,471
Ақтау,зоотовары,16
Ақтау,автозапчасти,334
Ақтау,стройматериалы,142

ИТОГО по городу
Алматы,,20334
Астана,,13727
Шымкент,,13249
Караганда,,5861
Ақтау,,4728
ВСЕГО 5 ГОРОДОВ,,57899

ИТОГО по категории (5 городов)
,одежда,15130
,обувь,5006
,косметика,4169
,украшения,2934
,детские товары,7800
,спорттовары,1280
,текстиль для дома,1909
,подарки/сувениры,727
,цветы,4125
,кондитерские/торты,3530
,мебель,5492
,зоотовары,595
,автозапчасти,3361
,стройматериалы,1841
